TAREAS ESTANDAR DE CORRECTIVO;;;;CORRECTIVE TASKS;;;CAMBIOS
;;;;;;;
Clavero;Código tarea std;Descripción componente;DEFINICION;Std Tasks Codes;Equipment description;DEFINITION;Fecha
ACR;ACR;Equipo ACR;;ACRno;ACR;;
ACR01;ACR01T70;Núcleo DC-DC;Reparación o sustitución de elementos pertenecientes a equipo Convertidor DC-DC como IGBTs, Driver DC-DC de IGBTs, conectores y cableado interno del equipo;ACR01T70;DC-DC core;Repair or replacement of elements belonging to the DC-DC converter equipment such as IGBTs, IGBT DC-DC driver, connectors and internal wiring of the equipment;
ACR01;ACR01T71;Núcleo DC-DC;Sustitución y reparación posterior de núcleo o equipo convertidor DC-DC completo;ACR01T71;DC-DC core;Replacement and subsequent repair of the core or complete DC-DC converter equipment;
ACR01;ACR01T79;Núcleo DC-DC;Inspección sin encontrar anomalía en el funcionamiento del Núcleo DC-DC o de alguno de sus componentes como IGBTs, Driver DC-DC de IGBTs, conectores y cableado interno del equipo.;ACR01T79;DC-DC core;Inspection without finding anomaly in the functionality of DC-DC core or some of its parts such as IGBTs, IGBT DC-DC driver, connectors and internal wiring of the equipment.;
ACR0101;ACR0101no;IGBT DC-DC;;ACR0101no;IGBT DC-DC;;
ACR0102;ACR0102no;Conjunto Driver DC-DC;;ACR0102no;Driver DC-DC module;;
ACR0103;ACR0103no;Conectores de baja DC-DC;;ACR0103no;Low voltage DC-DC connectors;;
ACR0104;ACR0104no;Busbar DC-DC;;ACR0104no;Busbar DC-DC;;
ACR02;ACR02T62;Sensores;Sustitución y desecho de Sensores de tensión, intensidad y temperatura en Equipo OESS (On board Energy Storage System)/ACR (Acumuladores de Carga Rápida) por no ser reparables;ACR02T62;Sensors;Replacement and disposal of voltage, current and temperature sensors in OESS Equipment (On board Energy Storage System)/ACR (Fast Charge Acumulators) that are beyond repair;
ACR02;ACR02T79;Sensores;Inspección sin encontrar anomalía en el funcionamiento de Sensores de tensión, Intensidad o Temperatura del Equipo OESS (On board Energy Storage System)/ACR (Acumuladores de Carga Rápida).;ACR02T79;Sensors;Inspection without finding anomaly in the functionality of Voltage, Current or Temperature sensors of OESS Equipment (On board Energy Storage System)/ACR (Fast Charge Acumulators).;
ACR0201;ACR0201no;Sensor de Tensión;;ACR0201no;Voltage sensor;;
ACR0202;ACR0202no;Sensor de Intensidad;;ACR0202no;Current sensor;;
ACR0203;ACR0203no;Sensor de Temperatura;;ACR0203no;Temperature sensor;;
ACR03;ACR03T62;Resistencias;Sustitución y desecho de Resistencias de precarga y descarga permanente del Equipo OESS (On board Energy Storage System)/ACR (Acumuladores de Carga Rápida) por no ser reparables;ACR03T62;Resistor;Replacement and disposal of precharge and continuous discharge resistors in OESS Equipment (On board Energy Storage System)/ACR (Fast Charge Acumulators) that are beyond repair.;
ACR03;ACR03T79;Resistencias;Inspección sin encontrar anomalía en el funcionamiento de Resistencias de precarga o descarga permanente del Equipo OESS (On board Energy Storage System)/ACR (Acumuladores de Carga Rápida).;ACR03T79;Resistor;Inspection without finding anomaly in the functionality of Preload or Steady discharge resistors of OESS Equipment (On board Energy Storage System)/ACR (Fast Charge Acumulators).;
ACR0301;ACR0301no;Resistencias de precarga;;ACR0301no;Preload resistor;;
ACR0302;ACR0302no;Resistencias de descarga permanente;;ACR0302no;Steady discharge resistors;;
ACR04;ACR04T70;Aparellaje eléctrico;Reparación o sustitución de Contactores principales, de precarga, maniobra y rama del Equipo OESS (On board Energy Storage System)/ACR (Acumuladores de Carga Rápida)  ;ACR04T70;Electrical gear;Repair or replacement of main, precharge, manoeuvre and branch contactors of the OESS Equipment (On board Energy Storage System)/ACR (Fast Charge Acumulators)  ;
ACR04;ACR04T79;Aparellaje eléctrico;Inspección sin encontrar anomalía en el funcionamiento de Contactores Principales, de precarga, Maniobra y Rama del Equipo OESS (On board Energy Storage System)/ACR (Acumuladores de Carga Rápida).;ACR04T79;Electrical gear;Inspection without finding anomaly in the functionality of Main, Precharge, Manoeuvre and Ultracapacitor module contactors of OESS Equipment (On board Energy Storage System)/ACR (Fast Charge Acumulators).;
ACR0401;ACR0401no;Contactor principal;;ACR0401no;Main contactor;;
ACR0402;ACR0402no;Contactor precarga;;ACR0402no;Preload contactor;;
ACR0403;ACR0403no;Contactor maniobra;;ACR0403no;Manoubre contactor;;
ACR0404;ACR0404no;Contactor rama;;ACR0404no;Branch contactor;;
ACR05;ACR05T41;Electrónica;Actualización o recarga de software del Control electrónico del Equipo OESS (On board Energy Storage System)/ACR (Acumuladores de Carga Rápida);ACR05T41;Electronic ;Update or reload of the software of the electronic control of the OESS Equipment (On board Energy Storage System)/ACR (Fast Charge Acumulators);
ACR05;ACR05T42;Electrónica;Reset de Control electrónico del Equipo OESS (On board Energy Storage System)/ACR (Acumuladores de Carga Rápida);ACR05T42;Electronic ;Reset of the electronic control of the OESS Equipment (On board Energy Storage System)/ACR (Fast Charge Acumulators);
